STATUS_ID,IS_ACTIVE,IS_DEFAULT,IS_STATUS_COPYABLE,DISPLAY_ORDER,CREATED_ON,CREATED_BY,LAST_MODIFIED_ON,LAST_MODIFIED_BY
DRAFT,1,1,1,1,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
ACTIVE,1,0,1,2,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PENDING,1,0,1,3,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
COMPLETE,1,0,1,4,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
INCOMPLETE,1,0,1,5,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
