MATERIAL_TYPE_ID,LANGUAGE,MATERIAL_TYPE_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#RAW,EN,Raw materials,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#RAW,DE,Rohstoffe,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SEM,EN,Semi-finished products,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SEM,DE,Halbfabrikate,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#FIN,EN,Finished products,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#FIN,DE,Fertigerzeugnisse,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
